Sexo,Idade,Cor,Tempo de Estudo,Renda,Altura
Feminino,29,Preta,15,1300,1.75
Masculino,40,Parda,9,800,1.59
Feminino,46,Parda,1,550,1.59
Masculino,25,Branca,6,975,1.86
Masculino,32,Parda,5,1500,1.79
Masculino,40,Branca,12,1200,1.67
Masculino,26,Preta,9,1145,1.72
Feminino,49,Parda,1,1200,1.63
Masculino,37,Parda,9,1500,1.7
Masculino,24,Preta,12,1200,1.54
Feminino,40,Parda,9,850,1.78
Masculino,39,Parda,10,1200,1.68
Masculino,39,Parda,11,900,1.77
Masculino,41,Parda,2,1200,1.67
Masculino,36,Parda,9,2500,1.66
Feminino,37,Parda,11,400,1.72
Masculino,28,Preta,12,1100,1.73
Masculino,32,Branca,12,1200,1.65
Masculino,24,Preta,12,2500,1.62
Masculino,39,Branca,14,4000,1.51
Masculino,33,Branca,16,2500,1.62
Feminino,49,Parda,6,788,1.7
Masculino,37,Branca,12,2000,1.57
Masculino,35,Preta,12,788,1.57
Feminino,55,Parda,9,380,1.89
Masculino,24,Parda,12,836,1.67
Masculino,34,Parda,15,1250,1.71
Masculino,27,Branca,12,1325,1.61
Masculino,50,Branca,8,1550,1.79
Masculino,53,Amarela,8,1800,1.61
Masculino,67,Preta,1,1500,1.76
Masculino,52,Branca,12,20000,1.64
Masculino,42,Parda,5,3000,1.74
Feminino,66,Branca,1,1600,1.83
Masculino,47,Branca,4,788,1.74
Masculino,60,Parda,9,1400,1.72
Masculino,29,Branca,11,580,1.68
Masculino,55,Branca,5,1500,1.73
Masculino,55,Branca,5,1000,1.77
Masculino,56,Branca,5,100,1.73
Masculino,69,Branca,9,0,1.61
Masculino,51,Branca,4,1000,1.62
Feminino,25,Parda,12,390,1.63
Masculino,49,Parda,3,788,1.73
Masculino,61,Preta,4,1800,1.54
Feminino,54,Parda,1,400,1.74
Masculino,37,Parda,7,1500,1.65
Masculino,39,Branca,9,2000,1.67
Masculino,52,Branca,5,350,1.78
Masculino,48,Branca,2,1600,1.72
Masculino,40,Parda,8,1600,1.51
Masculino,73,Branca,1,1000,1.55
Masculino,49,Branca,3,788,1.72
Masculino,45,Parda,16,3000,1.74
Masculino,80,Branca,5,2000,1.67
Masculino,45,Parda,12,10000,1.75
Feminino,34,Preta,16,900,1.78
Masculino,65,Branca,7,6000,1.84
Feminino,23,Branca,15,1600,1.73
Masculino,52,Branca,12,1300,1.72
Feminino,32,Parda,12,1400,1.56
Feminino,36,Parda,12,1400,1.73
Masculino,28,Branca,16,3500,1.59
Masculino,48,Branca,12,2500,1.64
Masculino,36,Parda,12,1700,1.65
Masculino,48,Branca,9,4500,1.73
Feminino,42,Branca,12,1700,1.63
Feminino,46,Branca,12,4124,1.72
Feminino,51,Parda,12,1500,1.59
Masculino,26,Parda,12,1200,1.73
Masculino,25,Parda,13,1000,1.87
Masculino,27,Parda,12,1200,1.76
Masculino,28,Parda,12,1600,1.58
Feminino,37,Parda,11,950,1.71
Masculino,26,Parda,11,1500,1.67
Masculino,27,Parda,11,1500,1.69
Masculino,41,Parda,16,4000,1.71
Masculino,49,Branca,6,900,1.77
Masculino,32,Parda,16,6000,1.73
Masculino,41,Preta,1,3000,1.78
Masculino,30,Branca,16,6000,1.74
Masculino,79,Branca,12,0,1.79
Masculino,52,Parda,15,2200,1.79
Masculino,36,Branca,12,2000,1.64
Masculino,35,Parda,16,4000,1.74
Masculino,50,Parda,1,1000,1.74
Masculino,53,Parda,1,1400,1.55
Feminino,32,Parda,5,788,1.77
Feminino,36,Branca,9,788,1.68
Masculino,52,Preta,9,1700,1.68
Masculino,55,Parda,1,1000,1.73
Masculino,42,Branca,16,3000,1.72
Masculino,35,Parda,5,1500,1.68
Masculino,71,Branca,6,1100,1.74
Masculino,31,Preta,1,1000,1.76
Feminino,43,Parda,12,1100,1.72
Masculino,51,Parda,9,1200,1.66
Masculino,37,Parda,9,2580,1.65
Masculino,38,Parda,17,1900,1.71
Feminino,35,Parda,16,2150,1.68
Masculino,26,Branca,12,1800,1.74
Feminino,50,Parda,6,300,1.68
Masculino,59,Parda,5,1300,1.69
Masculino,25,Parda,12,788,1.71
Feminino,42,Branca,16,2800,1.73
Masculino,41,Parda,5,1440,1.66
Masculino,38,Parda,5,850,1.71
Feminino,36,Branca,16,9000,1.72
Masculino,32,Parda,15,7800,1.73
Masculino,45,Parda,5,1200,1.61
Feminino,26,Branca,11,1500,1.66
Feminino,28,Branca,12,3000,1.67
Masculino,29,Parda,6,400,1.65
Feminino,30,Parda,7,550,1.84
Feminino,36,Parda,12,1200,1.74
Masculino,25,Parda,12,1500,1.74
Masculino,26,Parda,6,1100,1.76
Feminino,44,Parda,6,900,1.62
Feminino,19,Branca,12,2300,1.8
Masculino,34,Amarela,16,8000,1.65
Masculino,36,Parda,13,1400,1.81
Feminino,36,Parda,16,5000,1.65
Masculino,39,Branca,3,2500,1.66
Masculino,32,Parda,12,1490,1.83
Masculino,57,Parda,3,2300,1.75
Feminino,28,Branca,5,430,1.74
Masculino,28,Branca,9,400,1.64
Feminino,36,Parda,12,300,1.75
Masculino,46,Parda,10,160,1.7
Masculino,49,Branca,16,900,1.59
Masculino,39,Parda,4,688,1.84
Masculino,49,Branca,9,400,1.65
Masculino,55,Branca,3,1000,1.82
Masculino,60,Parda,9,0,1.72
Masculino,55,Parda,9,8000,1.84
Feminino,22,Branca,16,805,1.82
Masculino,42,Parda,12,6000,1.74
Masculino,35,Branca,16,2000,1.61
Masculino,38,Parda,12,850,1.78
Masculino,29,Branca,16,5200,1.61
Masculino,66,Preta,2,789,1.71
Masculino,48,Branca,1,2000,1.61
Masculino,34,Parda,16,5000,1.67
Feminino,49,Parda,12,400,1.61
Masculino,49,Branca,9,1800,1.56
Masculino,62,Branca,12,4000,1.71
Masculino,28,Preta,12,1000,1.75
Feminino,32,Parda,6,200,1.61
Masculino,41,Branca,1,250,1.81
Masculino,52,Parda,3,800,1.73
Masculino,43,Parda,12,1600,1.76
Masculino,39,Branca,8,800,1.68
Masculino,37,Parda,6,1600,1.73
Masculino,67,Parda,1,1000,1.64
Masculino,54,Branca,5,2500,1.74
Masculino,77,Parda,1,250,1.79
Masculino,64,Parda,4,1000,1.72
Masculino,58,Branca,1,10000,1.72
Masculino,57,Parda,3,1200,1.8
Masculino,43,Parda,13,1200,1.78
Masculino,64,Parda,5,3000,1.71
Masculino,52,Branca,7,1200,1.73
Masculino,52,Parda,1,2500,1.75
Feminino,26,Parda,15,1000,1.82
Masculino,41,Branca,12,2700,1.71
Masculino,24,Parda,16,1300,1.77
Feminino,31,Parda,6,500,1.76
Feminino,29,Branca,14,1000,1.71
Masculino,41,Parda,5,1500,1.76
Masculino,44,Parda,6,1900,1.63
Feminino,38,Branca,7,1300,1.72
Feminino,62,Parda,10,300,1.62
Masculino,59,Branca,1,788,1.78
Feminino,60,Branca,3,788,1.71
Masculino,48,Branca,5,2500,1.74
Masculino,56,Branca,2,788,1.72
Feminino,32,Branca,9,1020,1.62
Feminino,43,Parda,1,600,1.61
Feminino,26,Parda,12,1920,1.72
Masculino,57,Preta,5,1500,1.73
Masculino,39,Parda,1,788,1.59
Masculino,45,Branca,12,1000,1.79
Masculino,51,Parda,2,2500,1.72
Masculino,34,Branca,12,789,1.84
Feminino,40,Preta,7,830,1.63
Feminino,36,Branca,12,1000,1.53
Masculino,55,Parda,7,1800,1.76
Masculino,49,Branca,8,2300,1.84
Masculino,39,Parda,12,800,1.67
Feminino,39,Parda,6,788,1.64
Feminino,38,Preta,16,1200,1.7
Feminino,17,Branca,11,230,1.84
Masculino,51,Branca,16,2364,1.62
Feminino,56,Branca,7,500,1.61
Feminino,45,Parda,1,1800,1.71
Masculino,57,Branca,3,3650,1.64
Masculino,69,Branca,1,850,1.7
Feminino,38,Parda,5,0,1.73
Masculino,31,Branca,9,2000,1.53
Masculino,54,Parda,1,1500,1.79
Masculino,41,Branca,5,700,1.79
Masculino,43,Branca,4,750,1.61
Masculino,40,Branca,5,800,1.7
Masculino,39,Parda,1,1200,1.66
Masculino,42,Branca,4,1400,1.73
Masculino,58,Parda,1,750,1.65
Feminino,23,Parda,9,300,1.82
Feminino,43,Parda,10,788,1.53
Masculino,38,Parda,6,400,1.84
Masculino,38,Branca,16,400,1.75
Feminino,38,Preta,6,788,1.7
Masculino,37,Parda,1,788,1.59
Feminino,59,Parda,4,1500,1.53
Masculino,50,Parda,7,1500,1.68
Masculino,31,Branca,16,3000,1.72
Masculino,44,Parda,12,1400,1.78
Masculino,27,Parda,12,1000,1.63
Feminino,36,Parda,12,800,1.88
Masculino,37,Parda,7,800,1.73
Masculino,49,Parda,12,700,1.86
Masculino,55,Parda,8,900,1.73
Masculino,37,Preta,9,788,1.81
Feminino,52,Parda,12,788,1.55
Feminino,38,Parda,1,400,1.78
Feminino,66,Parda,16,2000,1.73
Masculino,63,Branca,12,3000,1.85
Feminino,31,Parda,15,300,1.77
Feminino,49,Parda,12,1300,1.79
Masculino,46,Branca,6,1200,1.72
Masculino,45,Parda,8,1500,1.78
Feminino,33,Preta,10,200,1.73
Masculino,58,Preta,8,1600,1.67
Masculino,54,Parda,3,1200,1.55
Masculino,72,Parda,1,1500,1.73
Masculino,70,Parda,1,400,1.6
Masculino,50,Parda,6,350,1.74
Masculino,64,Branca,5,2400,1.75
Masculino,61,Parda,5,0,1.6
Masculino,53,Parda,1,788,1.84
Masculino,38,Parda,6,800,1.65
Masculino,72,Parda,1,0,1.66
Masculino,22,Branca,8,1100,1.78
Masculino,50,Branca,13,2500,1.93
Masculino,49,Parda,2,0,1.8
Masculino,41,Branca,16,2000,1.68
Masculino,31,Branca,14,3000,1.73
Masculino,44,Branca,16,5000,1.75
Masculino,41,Branca,16,3500,1.58
Masculino,42,Parda,9,3500,1.56
Masculino,18,Parda,10,800,1.69
Masculino,41,Preta,5,800,1.72
Feminino,23,Parda,14,850,1.79
Masculino,37,Parda,9,850,1.69
Feminino,47,Branca,17,788,1.81
Masculino,19,Parda,9,1500,1.65
Masculino,35,Parda,9,1000,1.58
Masculino,33,Parda,12,1200,1.74
Feminino,34,Parda,10,800,1.62
Masculino,36,Parda,6,2000,1.62
Feminino,38,Branca,8,1000,1.69
Feminino,33,Parda,16,2000,1.61
Masculino,58,Parda,1,800,1.6
Feminino,46,Parda,9,788,1.8
Masculino,56,Parda,4,1300,1.62
Masculino,34,Parda,12,2500,1.67
Masculino,28,Parda,6,1000,1.8
Masculino,27,Parda,12,3500,1.68
Masculino,28,Parda,4,800,1.67
Masculino,22,Branca,9,788,1.75
Masculino,44,Preta,9,1500,1.72
Masculino,32,Parda,9,1600,1.72
Masculino,36,Parda,8,1700,1.85
Masculino,39,Parda,7,2000,1.74
Masculino,45,Parda,16,1000,1.84
Feminino,39,Preta,9,100,1.73
Feminino,21,Branca,9,788,1.74
Masculino,26,Parda,12,1400,1.64
Masculino,44,Parda,16,1200,1.72
Masculino,40,Parda,5,1500,1.5
Masculino,57,Branca,5,1300,1.68
Masculino,40,Preta,8,600,1.65
Masculino,41,Parda,6,900,1.73
Masculino,44,Branca,4,1200,1.66
Masculino,40,Parda,5,2000,1.75
Masculino,44,Parda,12,900,1.79
Masculino,51,Parda,1,2000,1.75
Masculino,35,Parda,4,900,1.67
Masculino,22,Parda,1,788,1.65
Masculino,44,Parda,4,900,1.61
Masculino,31,Parda,9,1500,1.69
Masculino,22,Parda,12,788,1.57
Masculino,61,Branca,16,10000,1.62
Feminino,26,Parda,10,788,1.78
Masculino,56,Parda,12,2800,1.86
Masculino,53,Parda,9,788,1.64
Masculino,37,Parda,1,788,1.75
Masculino,24,Branca,11,2000,1.7
Feminino,34,Branca,12,789,1.78
Masculino,25,Parda,14,1500,1.69
Feminino,40,Branca,14,2800,1.72
Masculino,63,Parda,9,3000,1.66
Masculino,36,Parda,12,1200,1.78
Feminino,32,Parda,13,2000,1.6
Masculino,50,Branca,9,1000,1.75
Masculino,47,Parda,7,2500,1.74
Feminino,45,Parda,16,1150,1.74
Masculino,36,Branca,5,2000,1.71
Masculino,46,Branca,9,5000,1.79
Masculino,47,Branca,12,3000,1.79
Masculino,56,Branca,16,8000,1.71
Masculino,46,Parda,6,1200,1.67
Masculino,47,Parda,12,2500,1.69
Masculino,52,Parda,9,10000,1.73
Feminino,23,Parda,7,788,1.71
Masculino,38,Preta,12,2400,1.78
Masculino,52,Branca,9,3000,1.64
Masculino,29,Parda,16,1900,1.8
Masculino,40,Parda,16,7500,1.74
Masculino,58,Parda,12,3310,1.72
Masculino,28,Parda,5,900,1.58
Masculino,52,Parda,1,800,1.73
Masculino,38,Parda,6,3500,1.69
Masculino,22,Parda,12,1000,1.68
Masculino,49,Branca,5,8500,1.71
Feminino,59,Parda,5,250,1.58
Masculino,42,Branca,2,950,1.73
Masculino,40,Parda,4,1300,1.83
Masculino,20,Parda,9,1500,1.66
Feminino,58,Parda,16,2000,1.78
Masculino,51,Parda,12,7000,1.65
Masculino,62,Parda,12,6000,1.77
Masculino,36,Branca,12,3400,1.74
Feminino,46,Branca,12,788,1.65
Masculino,54,Parda,12,1200,1.74
Feminino,51,Parda,12,780,1.73
Masculino,37,Branca,12,788,1.73
Masculino,22,Parda,11,2000,1.75
Masculino,21,Parda,7,1400,1.67
Masculino,47,Parda,16,1800,1.57
Feminino,38,Parda,6,900,1.68
Masculino,69,Branca,1,1182,1.68
Masculino,68,Parda,1,600,1.73
Masculino,57,Parda,16,4200,1.72
Feminino,36,Preta,12,788,1.63
Feminino,47,Parda,13,150,1.5
Masculino,59,Branca,13,4000,1.82
Masculino,53,Parda,16,7000,1.79
Feminino,46,Branca,16,1700,1.63
Feminino,59,Branca,9,80,1.84
Masculino,44,Parda,12,800,1.64
Masculino,29,Parda,12,1000,1.85
Feminino,50,Parda,6,2000,1.74
Feminino,54,Preta,5,788,1.58
Feminino,47,Parda,5,870,1.63
Masculino,33,Parda,7,1200,1.66
Masculino,63,Parda,1,200,1.74
Feminino,37,Parda,11,1100,1.8
Masculino,61,Preta,5,1000,1.82
Masculino,42,Branca,9,2000,1.67
Feminino,34,Parda,10,200,1.7
Masculino,37,Preta,16,4300,1.76
Masculino,39,Branca,12,2000,1.57
Masculino,36,Parda,4,1200,1.67
Masculino,56,Parda,2,1070,1.63
Masculino,59,Branca,6,1000,1.83
Masculino,46,Branca,9,800,1.78
Masculino,48,Branca,16,5000,1.75
Masculino,59,Parda,1,350,1.69
Masculino,20,Parda,8,500,1.72
Masculino,41,Parda,10,500,1.69
Masculino,61,Branca,1,1100,1.85
Masculino,27,Branca,12,1200,1.7
Feminino,50,Parda,4,788,1.65
Masculino,74,Branca,3,1000,1.58
Feminino,59,Parda,9,400,1.49
Masculino,36,Parda,4,788,1.76
Masculino,57,Preta,5,150,1.54
Masculino,34,Branca,9,3000,1.66
Masculino,40,Parda,12,1300,1.77
Masculino,52,Parda,5,200,1.75
Masculino,29,Parda,11,788,1.79
Feminino,59,Preta,2,250,1.66
Masculino,43,Parda,12,1000,1.72
Masculino,43,Parda,6,788,1.69
Feminino,39,Parda,9,788,1.66
Masculino,38,Branca,12,2000,1.8
Feminino,27,Preta,1,600,1.63
Masculino,36,Branca,12,600,1.61
Masculino,56,Parda,8,4500,1.76
Masculino,34,Preta,12,1000,1.8
Masculino,61,Parda,3,788,1.8
Masculino,32,Branca,9,1400,1.82
Feminino,53,Branca,6,500,1.79
Masculino,59,Preta,12,0,1.72
Masculino,57,Parda,8,350,1.8
Masculino,38,Parda,12,920,1.74
Feminino,35,Branca,16,2400,1.6
Feminino,40,Branca,6,800,1.77
Masculino,34,Parda,5,4800,1.76
Masculino,31,Parda,12,3000,1.65
Masculino,34,Branca,9,1200,1.74
Masculino,34,Parda,11,1500,1.52
Masculino,22,Branca,8,2500,1.6
Masculino,64,Branca,12,1500,1.77
Masculino,53,Branca,16,1500,1.73
Masculino,36,Branca,12,1500,1.8
Masculino,29,Branca,9,1000,1.54
Masculino,49,Branca,2,2000,1.74
Masculino,35,Parda,9,1300,1.76
Masculino,21,Parda,12,1200,1.63
Feminino,30,Parda,5,1400,1.64
Masculino,52,Parda,5,1000,1.82
Masculino,37,Branca,5,1500,1.74
Feminino,57,Parda,10,1000,1.74
Masculino,31,Parda,15,2500,1.66
Masculino,58,Parda,5,200,1.7
Masculino,34,Parda,7,1270,1.65
Masculino,49,Parda,4,788,1.64
Feminino,31,Branca,13,1200,1.8
Feminino,38,Parda,9,1500,1.72
Masculino,27,Parda,11,45000,1.71
Masculino,38,Parda,12,1200,1.47
Masculino,48,Parda,9,1100,1.66
Masculino,44,Parda,9,150,1.66
Masculino,54,Branca,4,500,1.71
Masculino,60,Parda,2,1500,1.63
Masculino,20,Branca,7,1200,1.84
Masculino,39,Branca,5,1500,1.67
Masculino,51,Preta,9,2600,1.68
Masculino,42,Parda,12,3500,1.63
Masculino,29,Branca,16,2400,1.72
Masculino,58,Parda,1,100,1.74
Masculino,35,Parda,7,750,1.79
Masculino,34,Branca,5,900,1.64
Masculino,65,Branca,1,5000,1.59
Masculino,58,Parda,1,1500,1.73
Masculino,46,Parda,11,1000,1.8
Masculino,48,Branca,9,5000,1.88
Masculino,57,Branca,5,1400,1.63
Masculino,33,Parda,1,900,1.84
Masculino,43,Parda,4,1500,1.65
Masculino,43,Branca,12,1200,1.6
Masculino,52,Parda,1,788,1.63
Masculino,25,Parda,6,788,1.82
Masculino,50,Branca,5,2000,1.94
Masculino,54,Parda,9,2000,1.69
Masculino,50,Parda,12,2000,1.72
Masculino,46,Branca,1,1200,1.81
Feminino,41,Branca,9,2000,1.64
Feminino,44,Parda,9,788,1.77
Masculino,46,Parda,5,1290,1.79
Masculino,34,Parda,9,1500,1.69
Masculino,38,Parda,16,1200,1.78
Masculino,39,Parda,12,2500,1.79
Masculino,51,Parda,5,1800,1.63
Feminino,56,Parda,5,1000,1.77
Masculino,55,Preta,11,2500,1.66
Masculino,25,Parda,12,1700,1.73
Feminino,45,Branca,16,2790,1.74
Masculino,50,Branca,12,4500,1.72
Feminino,45,Parda,9,300,1.68
Masculino,33,Parda,10,5000,1.55
Feminino,44,Branca,9,800,1.7
Feminino,31,Parda,12,900,1.77
Masculino,28,Parda,6,788,1.72
Feminino,44,Parda,12,788,1.69
Masculino,43,Parda,14,2500,1.63
Feminino,63,Parda,1,788,1.74
Masculino,43,Parda,5,788,1.72
Feminino,32,Preta,16,3000,1.64
Masculino,41,Parda,12,3800,1.65
Masculino,38,Parda,3,1250,1.67
Masculino,51,Branca,2,7000,1.65
Masculino,51,Branca,5,788,1.83
Masculino,53,Parda,13,600,1.74
Masculino,70,Branca,9,1800,1.73
Masculino,35,Parda,9,1400,1.75
Masculino,24,Parda,6,800,1.67
Masculino,24,Parda,3,788,1.7
Masculino,31,Parda,5,1300,1.76
Masculino,37,Parda,5,788,1.74
Masculino,29,Parda,11,788,1.72
Masculino,37,Parda,14,9166,1.59
Masculino,60,Parda,5,800,1.6
Masculino,41,Parda,9,1800,1.74
Masculino,53,Parda,5,2000,1.76
Masculino,28,Preta,16,1200,1.6
Feminino,46,Preta,6,830,1.74
Masculino,53,Preta,4,1500,1.65
Masculino,51,Parda,7,1500,1.72
Masculino,36,Preta,12,1500,1.6
Feminino,40,Parda,12,1200,1.8
Masculino,45,Branca,9,2000,1.73
Masculino,31,Parda,12,2930,1.73
Masculino,53,Branca,12,4000,1.74
Feminino,36,Parda,12,788,1.6
Feminino,36,Branca,12,2000,1.72
Feminino,25,Parda,16,3000,1.69
Masculino,57,Branca,7,1024,1.87
Masculino,45,Parda,5,1180,1.74
Feminino,25,Parda,10,1024,1.67
Feminino,56,Parda,9,1500,1.66
Masculino,51,Parda,5,1500,1.74
Masculino,52,Branca,6,2000,1.74
Feminino,36,Parda,12,4000,1.67
Masculino,47,Preta,5,1200,1.79
Masculino,41,Branca,4,1200,1.64
Masculino,36,Parda,10,876,1.67
Masculino,65,Branca,1,1200,1.74
Feminino,28,Parda,7,788,1.72
Feminino,35,Parda,6,1050,1.71
Masculino,44,Preta,1,1300,1.63
Feminino,28,Preta,16,1300,1.67
Masculino,55,Branca,5,1300,1.67
Masculino,30,Branca,11,1100,1.73
Masculino,52,Parda,5,2000,1.75
Feminino,35,Parda,12,924,1.69
Feminino,33,Branca,14,1300,1.69
Feminino,53,Parda,5,950,1.73
Masculino,45,Parda,2,1300,1.61
Masculino,28,Parda,16,1100,1.65
Masculino,52,Preta,1,1500,1.62
Masculino,57,Parda,7,500,1.7
Masculino,64,Parda,12,3500,1.73
Masculino,18,Branca,6,850,1.66
Feminino,29,Parda,10,150,1.85
Masculino,30,Preta,12,2300,1.83
Masculino,53,Branca,2,950,1.72
Feminino,40,Branca,5,0,1.52
Masculino,66,Branca,3,0,1.58
Masculino,79,Branca,1,0,1.7
Masculino,61,Parda,4,0,1.5
Masculino,30,Branca,6,1000,1.78
Feminino,57,Branca,5,0,1.86
Masculino,59,Branca,9,2200,1.67
Masculino,57,Branca,9,788,1.74
Feminino,54,Branca,5,0,1.68
Masculino,40,Parda,4,2000,1.89
Feminino,35,Parda,16,2800,1.65
Feminino,53,Parda,9,800,1.64
Feminino,27,Parda,12,1500,1.82
Feminino,39,Parda,5,900,1.65
Feminino,43,Parda,5,500,1.81
Masculino,49,Branca,9,2100,1.69
Feminino,48,Parda,5,600,1.77
Feminino,41,Parda,8,1100,1.67
Masculino,45,Parda,5,2000,1.65
Masculino,18,Parda,6,1300,1.6
Feminino,44,Parda,9,788,1.8
Masculino,45,Parda,4,1800,1.82
Masculino,76,Parda,1,700,1.67
Masculino,48,Parda,5,1800,1.56
Masculino,45,Preta,11,1100,1.67
Masculino,36,Parda,3,960,1.77
Feminino,43,Parda,12,1200,1.77
Masculino,52,Parda,9,1200,1.83
Masculino,57,Parda,7,4000,1.57
Feminino,36,Parda,12,1500,1.86
Feminino,33,Parda,12,2800,1.76
Feminino,49,Parda,9,2000,1.63
Masculino,35,Parda,9,788,1.68
Masculino,39,Parda,6,500,1.8
Masculino,64,Branca,1,1200,1.57
Masculino,17,Parda,8,1500,1.66
Feminino,38,Parda,12,788,1.75
Masculino,24,Parda,10,150,1.59
Masculino,38,Parda,8,1500,1.77
Masculino,79,Parda,2,788,1.61
Masculino,27,Preta,7,850,1.69
Masculino,53,Indígena,16,5000,1.8
Feminino,41,Parda,15,1800,1.67
Feminino,52,Branca,8,1000,1.62
Masculino,37,Preta,1,500,1.57
Masculino,49,Parda,1,788,1.59
Masculino,32,Parda,16,2000,1.7
Masculino,38,Parda,16,7000,1.68
Feminino,38,Parda,12,1700,1.76
Feminino,36,Parda,12,800,1.81
Feminino,48,Parda,12,1600,1.6
Masculino,45,Branca,16,2300,1.77
Masculino,41,Parda,12,2100,1.82
Masculino,29,Branca,14,1600,1.69
Masculino,27,Preta,12,1500,1.74
Masculino,26,Branca,10,2000,1.66
Feminino,62,Parda,16,5000,1.72
Feminino,38,Branca,12,3500,1.71
Masculino,30,Parda,12,788,1.6
Masculino,32,Parda,12,788,1.83
Feminino,58,Preta,16,7900,1.65
Masculino,55,Parda,12,3500,1.74
Masculino,49,Branca,16,7000,1.73
Masculino,51,Preta,16,22000,1.54
Feminino,49,Parda,9,1000,1.66
Masculino,38,Branca,12,3500,1.74
Masculino,61,Parda,9,3000,1.68
Feminino,52,Parda,9,1200,1.72
Masculino,36,Parda,16,2000,1.81
Masculino,60,Parda,9,1200,1.73
Masculino,50,Preta,12,1000,1.66
Masculino,19,Branca,12,1038,1.6
Feminino,39,Parda,12,1500,1.67
Feminino,28,Branca,12,960,1.78
Masculino,46,Preta,12,2000,1.69
Feminino,26,Branca,12,1800,1.68
Masculino,28,Parda,9,4000,1.67
Feminino,67,Parda,1,350,1.79
Masculino,53,Parda,9,800,1.76
Feminino,60,Branca,9,1200,1.64
Masculino,44,Branca,12,2000,1.7
Masculino,33,Preta,10,2200,1.62
Feminino,47,Preta,16,1800,1.74
Masculino,41,Parda,12,3500,1.7
Masculino,39,Preta,10,2500,1.73
Masculino,61,Branca,5,1000,1.79
Feminino,36,Preta,8,1000,1.8
Masculino,62,Branca,7,2000,1.89
Masculino,55,Preta,12,2300,1.73
Masculino,20,Branca,12,1200,1.75
Masculino,56,Parda,9,400,1.63
